word,centrality,community
shyaka,0.021300745825706482,Community 1
research,0.012097048990109683,Community 8
free,0.07847425745229793,Community 4
energy,0.08112773874824071,Community 4
principle,0.0717253609869923,Community 4
fep,0.0554556833740672,Community 6
active,0.10384463769332564,Community 2
inference,0.18603698754107723,Community 2
sustainable,0.36416761219493715,Community 1
fashion,0.3010689682161715,Community 7
practice,0.2588942961052005,Community 1
environmental,0.04261545709089853,Community 3
impact,0.05183061952884502,Community 1
industry,0.11386222842068715,Community 12
framework,0.012028154088346038,Community 7
understand,0.08935280101077557,Community 7
adaptive,0.01541087069627147,Community 7
system,0.025129048548272175,Community 7
include,0.054757966100816124,Community 3
concept,0.11994517345302677,Community 6
enhance,0.09215348064702801,Community 1
understanding,0.01935440290997923,Community 1
implementation,0.051626580969057374,Community 1
professional,0.12122265414442467,Community 1
field,0.1058660457298347,Community 1
likely,0.04052689967797063,Community 7
science,0.005736700595209936,Community 3
sustainability,0.23267038961997297,Community 6
ethical,0.0348495375355624,Community 1
key,0.016146058804851374,Community 6
water,0.00030159476970570935,Community 11
usage,4.0595263816206673e-05,Community 11
labor,0.0348495375355624,Community 1
promote,0.1396482913347696,Community 4
circular,0.02074360247293967,Community 5
economy,0.014256044778822106,Community 5
models,0.021302222671669188,Community 5
implement,0.05468156670993561,Community 5
extend,0.01319498528063119,Community 4
product,0.09802462813409558,Community 4
lifecycle,0.015844787567918905,Community 4
minimize,0.019684631650415268,Community 4
esg,0.040778047638899556,Community 2
reporting,0.006343133678613774,Community 2
standardize,0.006343133678613774,Community 2
social,0.005842580741976151,Community 3
governance,0.0007865124500502506,Community 3
engage,5.833504685584871e-17,Community 15
stakeholder,8.249821442521122e-17,Community 15
initiative,0.0313192872892168,Community 6
prefer,0.0028673031936248907,Community 1
practical,0.06474005688366262,Community 9
examples,0.008878374963882713,Community 9
real,0.0012171411640018927,Community 9
world,0.0001638327967839523,Community 9
group,0.019357095785734274,Community 2
project,0.14380169569339563,Community 2
sector,5.833504685584871e-17,Community 15
data,0.18242296173783146,Community 6
drive,0.02661521871845779,Community 3
insight,0.015301334525424507,Community 3
analytic,0.13615738950219186,Community 6
inform,0.06436702372238906,Community 4
financial,0.05929246459424016,Community 4
decision,0.10031332251356988,Community 4
integrate,0.05034840721733113,Community 6
need,0.0028673031936248907,Community 1
like,0.04809669681273863,Community 6
surprise,0.023045729394481147,Community 6
entropy,0.0031605298823124866,Community 6
kl,0.0004332916445588258,Community 6
divergence,5.8325394053766174e-05,Community 6
biological,0.058382674257245755,Community 7
systems,0.009081397949609956,Community 7
familiarity,0.009081397949609956,Community 7
predictive,0.06673897597309192,Community 5
processing,0.022963515730093982,Community 5
goals,0.016317880546257872,Community 1
1,0.2543312718536708,Community 2
coding,0.008983960949832434,Community 5
sensory,3.514143956335653e-19,Community 16
input,3.514143956335653e-19,Community 16
supply,0.04358183990650807,Community 2
chain,0.03874943373991335,Community 2
management,0.02791492373687173,Community 2
consumer,0.11055257867674549,Community 7
behavior,0.0658457597733955,Community 7
align,0.002649802287287714,Community 4
variational,0.02413418942668263,Community 4
reduce,0.04523156823868253,Community 4
waste,0.04055838313750727,Community 4
gather,0.034696552118215054,Community 5
information,0.02166298128308274,Community 5
improve,0.04536846833103256,Community 5
generative,0.06856002502342601,Community 5
model,0.06385080613260297,Community 5
apply,0.14120101385968875,Community 7
market,0.03677636063336298,Community 7
trend,0.016985982645179365,Community 7
resonate,0.03423558497643988,Community 2
material,0.10564325255162565,Community 3
production,0.019260766500821317,Community 3
process,0.002592935284092545,Community 3
2,0.2654994907077277,Community 2
evaluate,0.037648043595508975,Community 1
effectiveness,0.07470409139693827,Community 1
different,0.12467766086183132,Community 1
minimization,0.02148438713939492,Community 4
see,0.00608895321922721,Community 4
uncertainty,0.021180539604804843,Community 5
accuracy,0.015091586385577631,Community 5
availability,0.02842047552430138,Community 3
timeline,0.00641905077977136,Community 3
ensure,0.000819627385978555,Community 2
transparency,0.006087925994975179,Community 2
involve,0.0046709120753841435,Community 5
slow,0.04052689967797063,Community 7
movement,0.04052689967797063,Community 7
generation,0.03529246876628609,Community 4
longevity,0.03674362160457642,Community 4
eco,0.015388288704398585,Community 3
friendly,0.016292793023183153,Community 3
misconceptions,0.03423558497643988,Community 2
mathematical,0.016444032437529107,Community 6
prerequisites,0.002213567141171163,Community 6
require,5.590876509427342e-05,Community 5
additional,7.670312237813429e-06,Community 5
support,0.005085699079031799,Community 13
scaffolding,0.0006845926252494599,Community 13
operate,0.0038450426082941368,Community 5
incomplete,0.0034340228508152326,Community 5
environment,0.0029712880705449734,Community 5
pomdps,0.0004075632262365197,Community 5
explanation,1.0521377927105894e-06,Community 5
analogy,1.4173574357651875e-07,Community 5
metric,0.10036157466787735,Community 6
carbon,0.006770360805126043,Community 11
footprint,0.0011000002860757847,Community 11
reduction,0.0011000002860757847,Community 11
example,0.00871454216709876,Community 9
predict,0.07979118752789949,Community 3
cognitive,3.514143956335653e-19,Community 17
load,3.514143956335653e-19,Community 17
theoretical,0.016444032437529107,Community 6
give,0.016317880546257872,Community 1
commitment,0.019185183739882764,Community 1
flexible,0.0010594350910015672,Community 10
scheduling,0.006810877188833962,Community 10
offer,0.0010594350910015672,Community 10
option,0.006559491865306383,Community 10
online,0.04191819754806565,Community 10
course,0.008205514078182014,Community 3
workshop,0.003232297042267935,Community 3
self,0.01580594075638227,Community 3
paced,0.006694924471003419,Community 3
learning,0.033927461077677995,Community 3
provide,0.044439997246256406,Community 3
pace,0.02091630230680324,Community 3
allow,0.022062075936455657,Community 3
manage,0.018425164786978393,Community 3
time,0.005891107845634765,Community 3
effectively,0.0032734986955700453,Community 3
courses,0.005642669177196457,Community 10
software,0.019244507599813533,Community 5
tools,0.004739738617961643,Community 12
access,0.015964933032349006,Community 12
tool,0.04330053880922401,Community 6
platform,0.06315632701346838,Community 6
performance,0.08514213022753145,Community 1
condition,0.005736700595209936,Community 3
optimization,0.019196339312009408,Community 2
optimize,0.05897183738292309,Community 2
case,0.0565661816162465,Community 2
studies,0.0076143383810953445,Community 2
study,0.014475478459148462,Community 1
successful,0.05096981159450517,Community 1
base,0.03647061262238792,Community 9
participant,0.01179024269632149,Community 14
design,0.08282709381440889,Community 4
opportunities,0.07024881260230073,Community 2
encouraging,0.0015870748649982034,Community 14
analyze,0.049640234364246666,Community 7
metrics,0.0313192872892168,Community 6
potential,0.03423558497643988,Community 2
