word,centrality,community
domain,0.06608788291107041,Community 1
analysis,0.0047093432349100605,Community 1
integrate,0.12776149410751006,Community 3
buckminster,0.08721800863400153,Community 9
fuller,0.09613481739992058,Community 9
principles,0.029091891749050764,Community 9
active,0.19974469970764006,Community 1
inference,0.2716055812781549,Community 2
introduction,0.018348815910606053,Community 2
work,0.0800982522749232,Community 9
design,0.4429657729455109,Community 3
science,0.08976261460944435,Community 5
structure,0.06903423725412088,Community 4
like,0.02857535450292155,Community 4
geodesic,2.1956055192408594e-13,Community 19
dome,2.1956055192408594e-13,Community 19
exemplify,0.01651001075520626,Community 1
synergetic,0.12491727194506075,Community 2
holistic,0.11420977522362864,Community 2
thinking,0.09574886922189411,Community 2
explore,0.030759981025694615,Community 5
principle,0.2225036087809005,Community 1
free,0.11946283861624639,Community 1
energy,0.19232849597767104,Community 1
fep,0.059868174310265795,Community 1
theoretical,0.018832559304773344,Community 11
practical,0.024110614781802892,Community 1
application,0.07879456434624445,Community 1
expert,0.004464699449855472,Community 1
architecture,0.06933529264507217,Community 4
engineering,0.050283532872107635,Community 5
system,0.16535411713589504,Community 2
green,0.006740093968191161,Community 4
building,0.09976045357268788,Community 4
knowledge,0.03739519804675097,Community 7
expertise,0.006991061199815227,Community 7
1,0.13230855399250738,Community 5
architectural,0.04637360488772734,Community 15
include,0.056482794259622195,Community 1
sustainable,0.1705909446417851,Community 2
minimal,0.034988571783128336,Community 4
environmental,0.07493322171328562,Community 4
impact,0.03653163984148493,Community 4
efficient,0.10646148004923252,Community 4
resource,0.08548545256336279,Community 3
use,0.1705398129392421,Community 3
2,0.228176129342881,Community 2
systems,0.03194666141274138,Community 2
understanding,0.03169103099198528,Community 2
complex,0.06387660090312577,Community 2
interconnectedness,0.04343442464184256,Community 2
3,0.0893485320470426,Community 2
solution,0.10796003546759536,Community 3
global,0.02019995744616529,Community 3
challenge,0.04033472455872598,Community 2
sustainability,0.047557044363528624,Community 3
management,0.007140044368200496,Community 3
practice,0.033805237723400175,Community 9
efficiency,0.08302349003413188,Community 3
geometric,0.047531632467596466,Community 4
familiarity,0.0032112047004689984,Community 4
concept,0.007077322542689531,Community 4
tensegrity,0.028647225815342483,Community 4
isotropic,2.1956055192408594e-13,Community 20
vector,2.1956055192408594e-13,Community 20
frameworks,0.008938655903341282,Community 5
apply,0.09027073667877816,Community 5
scientific,0.009495429190000008,Community 5
solve,0.06520609090407313,Community 3
problem,0.07084810197683583,Community 2
consider,0.02313128407151405,Community 2
address,0.056706516247909726,Community 2
understand,0.04883789937674944,Community 2
component,0.011967569271701518,Community 2
interact,0.00426921546732716,Community 2
produce,0.0015707107056140677,Community 2
emergent,0.0008133275990264959,Community 2
property,0.00619757299112921,Community 2
biomimicry,0.10419839079476938,Community 2
nature,0.05824874574965469,Community 5
human,0.037226247778625134,Community 3
structural,0.03750227715978288,Community 1
study,0.0144746449820861,Community 2
transformation,0.01438296363533323,Community 4
behavior,0.011171758934864258,Community 2
ephemeralization,0.0010428785412145754,Community 5
technological,0.015436681112993825,Community 5
advancement[1][2,0.0010428785412145754,Community 5
challenges,0.008938655903341282,Community 5
create,0.06521521677082358,Community 4
minimize,0.1001083731980332,Community 1
innovative,0.0002884840594538656,Community 3
solutions,0.004270360105873303,Community 3
develop,0.06292248794545163,Community 3
new,0.04615872840140922,Community 3
technology,0.04959730692959708,Community 3
optimize,0.13634970580048036,Community 3
achieve,0.02304630128736277,Community 3
abundance,0.011524986330772998,Community 2
solving,0.008617732360974783,Community 2
context,0.008938655903341282,Community 5
trends,0.008938655903341282,Community 5
eco,0.032437845423536726,Community 3
friendly,0.03259679899389668,Community 3
need,0.011876839677075389,Community 4
adaptable,0.0072255554805935596,Community 4
