word,centrality,community
domain,0.06350225656694627,Community 1
analysis,0.04724434631118928,Community 1
integrate,0.10919301767715428,Community 1
active,0.2587811018267596,Community 1
inference,0.2728099385385208,Community 1
entomology,0.16136570060941338,Community 1
introduction,0.05177346127782089,Community 1
insect,0.3921321135253189,Community 2
study,0.044714510961859695,Community 2
biology,0.047386445231435786,Community 2
ecology,0.06638229136986208,Community 2
free,0.05815171192952322,Community 1
energy,0.04384358006569115,Community 1
principle,0.11779122971615327,Community 1
fep,0.011269112025578577,Community 1
offer,0.0012440370907335603,Community 8
powerful,0.01300316722030862,Community 8
framework,0.013963754600100077,Community 8
understand,0.05147749920824844,Community 8
complex,0.02891930255886547,Community 8
system,0.048210132444865154,Community 8
include,0.03257532246857182,Community 1
bridge,0.0009310975091608212,Community 7
gap,0.00973225126330795,Community 7
entomological,0.10079629170117195,Community 7
research,0.09616746688227233,Community 2
theoretical,0.010535788951216972,Community 8
provide,0.06923278680148694,Community 1
comprehensive,0.028637460629272436,Community 1
concept,0.023149281838949324,Community 1
enhance,0.2089837375038462,Community 1
understanding,0.10793458649070416,Community 2
management,0.1612948981457434,Community 3
population,0.19765555341466914,Community 2
specific,0.03713045521402267,Community 1
area,0.06625659814049153,Community 2
1,0.13641084411721313,Community 9
2,0.18537489147606023,Community 1
environment,0.04290979996854381,Community 2
identify,0.04809573950815201,Community 3
morphological,0.001020602397344257,Community 1
molecular,0.010668200343740232,Community 1
technique,0.11049361124889856,Community 1
communication,0.03785948668798862,Community 2
mating,0.0036216710434984942,Community 2
pest,0.187080589581506,Community 3
develop,0.04669706873908985,Community 3
integrated,0.03332706892466028,Community 3
ipm,0.03770611576525877,Community 3
strategy,0.04577572671469426,Community 3
control,0.1915968923020523,Community 3
harm,0.002505970251766529,Community 17
beneficial,0.026195088641611408,Community 17
specie,0.062328426494413135,Community 17
field,0.00014818501595158633,Community 5
experiment,0.0015488842791817148,Community 5
laboratory,0.00014818501595158633,Community 5
test,0.015893426764014007,Community 5
hypothesis,0.0390335679931027,Community 5
behavior,0.09309908023963955,Community 2
data,0.05984114864024693,Community 1
collection,0.01280947205357913,Community 8
collect,0.018373330283672003,Community 4
datum,0.1920511608924837,Community 4
statistical,0.004520064007540009,Community 1
apply,0.06547522892840373,Community 1
analyze,0.018373330283672003,Community 4
draw,0.0005371683515545008,Community 1
conclusion,0.005614744555385889,Community 1
ecosystem,0.0741564100009244,Community 2
computational,0.08710369488667292,Community 1
model,0.20294032439835813,Community 1
predict,0.17965682206119143,Community 3
dynamic,0.05860635959288477,Community 2
concepts,0.013170222100403665,Community 9
chemical,0.0007921523396371763,Community 6
