word,centrality,community
domain,0.07770456568445452,Community 3
analysis,0.02713189331565535,Community 3
integrate,0.16831401517259245,Community 1
active,0.2276590444359866,Community 1
inference,0.273247299316779,Community 3
healthcare,0.30535366981782663,Community 1
introduction,0.08253881189891273,Community 1
theoretical,0.023026968199269464,Community 11
framework,0.008962858431010487,Community 11
decision,0.06525552564904356,Community 1
make,0.005279494603194039,Community 1
model,0.2125561124534814,Community 2
quality,0.13458337586535532,Community 1
improvement,0.08309103009515179,Community 1
patient,0.40520995114998726,Community 2
center,0.09238550357906089,Community 1
care,0.09781956376742103,Community 2
provide,0.03999010350888842,Community 1
comprehensive,0.030116040597912546,Community 1
understanding,0.07744076168676382,Community 1
concept,0.040139956483413494,Community 6
enhance,0.09090059562910104,Community 6
outcome,0.12649845290444384,Community 2
experience,0.08300914510321175,Community 2
expert,0.006286865070134355,Community 3
focus,0.03417813214205161,Community 6
1,0.18513255200129033,Community 1
understand,0.08775174580175092,Community 1
principle,0.13296804346129865,Community 3
emphasize,0.0028380213386666082,Community 5
need,0.0346555573465719,Community 5
2,0.16560193003089732,Community 3
knowledge,0.04357605774317377,Community 1
methodology,0.04588067611447889,Community 1
lean,0.0059942310134343865,Community 1
sigma,0.0004849708920206092,Community 1
3,0.11310166312451027,Community 2
electronic,3.886770848931248e-12,Community 13
health,6.732084597232997e-12,Community 13
telehealth,4.5794060075773164e-14,Community 17
platform,4.5794060075773164e-14,Community 17
digital,3.886770848931248e-12,Community 13
communication,0.019713286909811414,Community 6
skill,0.021197087039012366,Community 6
include,0.0017149615325687728,Community 6
data,0.08712992303251252,Community 3
analyze,0.008355747498909069,Community 2
datum,0.10326986158234197,Community 2
satisfaction,0.06556986794674181,Community 2
cahps,0.01507727252348389,Community 1
measure,0.032785321647513556,Community 2
service,0.010888697811033497,Community 1
models,0.04677133055701946,Community 1
apply,0.07201550202630275,Community 3
servqual,0.00019431403475405557,Community 11
assess,0.002401754336605017,Community 11
improve,0.0880264754438743,Community 2
tangible,3.886770848931248e-12,Community 12
element,6.732084597232997e-12,Community 12
intangible,3.886770848931248e-12,Community 12
e.g.,3.886770848931248e-12,Community 12
involve,0.07959757932115155,Community 3
professional,0.02714127844114999,Community 1
challenges,0.014978583844686076,Community 1
outcomes,0.032785321647513556,Community 2
high,0.05041224054875508,Community 2
operational,0.015135978906953765,Community 2
efficiency,0.0012246670281483663,Community 2
personalized,0.0617426807858602,Community 7
integration,0.06922678409724144,Community 2
technological,0.005601136287041879,Community 2
technology,0.04125310987943014,Community 1
trends,0.014978583844686076,Community 1
centric,0.03510344632615902,Community 5
approach,0.028651917658278694,Community 5
sustainability,0.009600288893680909,Community 10
practices,0.0007818523517316661,Community 10
practice,0.004771810638853183,Community 10
approaches,0.014978583844686076,Community 1
practical,0.010370652832512954,Community 3
application,0.06458485033016417,Community 3
case,0.03680450337677032,Community 3
study,0.004119314842416761,Community 3
interdisciplinary,0.0002670357295905107,Community 4
collaboration,0.003299524311880069,Community 4
continuous,0.016556769859277513,Community 5
learning,0.020587456374040032,Community 5
place,0.032785321647513556,Community 2
survey,0.0012198227873520691,Community 1
tools,0.014978583844686076,Community 1
information,0.032785321647513556,Community 2
mobile,3.886770848931248e-12,Community 13
engagement,0.032785321647513556,Community 2
applications,0.00384180664592596,Community 3
use,0.10940742163809303,Community 3
tool,0.04735729237887083,Community 3
analytic,0.05635837565569894,Community 3
track,0.03661700685105217,Community 3
best,6.325899804809466e-05,Community 10
regular,0.0029361262314925385,Community 7
feedback,0.03628792531300007,Community 7
mechanism,0.004497687666559149,Community 7
continuously,0.07293948614828696,Community 2
staff,0.0844715530900348,Community 6
training,0.07017619733944616,Community 6
programs,0.012511772006204819,Community 6
program,0.046983321981498724,Community 6
empathy,0.012909154914562515,Community 6
opportunity,0.01507727252348389,Community 1
empowerment,0.025253247494702515,Community 6
artificial,1.1193481034461309e-05,Community 5
intelligence,0.00013745365025973497,Community 5
ai,0.15880735450625807,Community 1
diagnostic,0.024704739057834775,Community 1
medicine,0.004995605652645001,Community 7
tailor,0.011328845100578936,Community 5
treatment,0.10764379057697482,Community 2
plan,0.10864310262297996,Community 2
vr,0.03979652612819708,Community 1
concepts,0.028394383685937576,Community 3
vs.,0.0184190990985809,Community 1
importance,0.00041991210417830014,Community 5
individualized,0.00235209990678654,Community 5
specific,0.0037206743862869328,Community 5
analogies,0.014978583844686076,Community 1
journey,0.039761863857125566,Community 2
interaction,0.003217192739580395,Community 2
complex,0.04201984405309426,Community 1
system,0.12625466252158762,Community 1
small,0.010283021543464697,Community 14
change,0.0008375125668939784,Community 14
significant,6.821301934977063e-05,Community 14
impact,5.519324830077203e-06,Community 14
drive,0.015444779048895957,Community 1
making,0.0385118039724602,Community 1
predictive,0.08995499153202895,Community 3
analytics,0.007278034466501832,Community 3
forecast,0.05737813713061225,Community 3
planning,0.007914652730232858,Community 2
potential,0.0003108142525952344,Community 3
develop,0.12071486169452124,Community 6
base,0.13382633999263135,Community 2
individual,0.04361351223923583,Community 2
modeling,0.03114544110833733,Community 3
identify,0.05041224054875508,Community 2
