word,centrality,community
domain,0.08451531309458277,Community 7
analysis,0.007410042373844977,Community 7
integrate,0.24758485802418842,Community 1
non,0.043153364172402245,Community 2
science,0.036391062064008446,Community 2
know,0.07339758565516923,Community 2
active,0.2983746474393386,Community 2
inference,0.2323703384089042,Community 1
way,0.04387787639299301,Community 2
knowing,0.007037752198301128,Community 2
traditional,0.09951654183049981,Community 1
ecological,0.12131222418571036,Community 1
knowledge,0.07685931856004861,Community 1
tek,0.03842862816153751,Community 1
holistic,0.24011296489265255,Community 2
approach,0.11110211814567195,Community 2
framework,0.01251454877192331,Community 5
understand,0.1304301527890206,Community 2
complex,0.1336432876739067,Community 1
system,0.1840161850550248,Community 2
explore,0.0465350778370432,Community 2
enhance,0.05208790807016656,Community 1
understanding,0.07981077844155629,Community 2
practice,0.16901908428396875,Community 1
perception,0.04785140109270362,Community 1
action,0.004962214919092583,Community 7
learn,0.008738628726005384,Community 7
educational,0.042088913639813076,Community 2
background,0.0036902460454544725,Community 2
professionals,0.007410042373844977,Community 7
study,0.06399138426740822,Community 2
indigenous,0.1029377612823145,Community 1
workshop,5.265952785029888e-16,Community 16
conference,5.265952785029888e-16,Community 16
community,0.01749177271398,Community 3
base,0.0158082190507186,Community 3
systems,0.06399675158179717,Community 2
include,0.016134509574370418,Community 2
recognize,0.00118082882882317,Community 9
interconnectedness,0.011057736006121598,Community 9
approaches,0.0558258037343113,Community 2
chinese,0.012104966996082043,Community 1
medicine,0.038543927291616306,Community 1
wheel,0.0033794634082032556,Community 1
native,0.0034056431657557952,Community 1
american,0.0002985974694843057,Community 1
think,0.056274984479982,Community 2
cultural,0.06012627850370957,Community 6
competence,0.005271792093928966,Community 6
diverse,0.027881323437732603,Community 6
belief,0.036456789718045175,Community 6
oral,5.265952785029888e-16,Community 17
traditions,5.265952785029888e-16,Community 17
storytelling,1.330852935397209e-14,Community 13
ritual,1.8821102707627666e-14,Community 13
observation,1.330852935397209e-14,Community 13
phenomenological,0.016075729342975166,Community 2
subjective,0.1478698855704848,Community 2
experience,0.14967536955204677,Community 2
narrative,1.330852935397209e-14,Community 14
inquiry,1.8821102707627666e-14,Community 14
methods,1.330852935397209e-14,Community 14
capture,0.012802322347008538,Community 9
human,0.024841193250522843,Community 2
thinking,0.03910030687862168,Community 2
apply,0.0741874272940691,Community 2
philosophy,0.04890501452792158,Community 2
modeling,0.096045602619003,Community 2
relationship,0.010636971148886778,Community 1
worldviews,0.0210524821541927,Community 2
aspect,0.0024087591316730122,Community 9
