Entity,Total Words,Sections,Paragraphs,Words per Section,Words per Paragraph
Synthetic_Biology,4924,121,253,40.69421487603306,19.462450592885375
Synthetic_RSA,5322,99,254,53.75757575757576,20.95275590551181
Synthetic_Astronomy,4370,97,245,45.05154639175258,17.836734693877553
Synthetic_Logistics,5959,134,205,44.47014925373134,29.068292682926828
Synthetic_Entomology,4559,95,221,47.98947368421052,20.6289592760181
Synthetic_ATM_Transaction,5279,117,228,45.11965811965812,23.153508771929825
Synthetic_Quantum-Computation,5445,171,357,31.842105263157894,15.252100840336135
Synthetic_Exercise,5416,119,232,45.51260504201681,23.344827586206897
Synthetic_Physical_Security,5137,113,202,45.46017699115044,25.43069306930693
Synthetic_Blockchain,5743,114,265,50.37719298245614,21.671698113207547
Synthetic_Video_Games,4815,89,220,54.10112359550562,21.886363636363637
Bancroft,2144,36,81,59.55555555555556,26.469135802469136
Synthetic_PredictionMatterExpertise,4829,130,266,37.146153846153844,18.154135338345863
Synthetic_Bucky_Fuller,5165,108,194,47.824074074074076,26.623711340206185
Hipolito,2860,56,125,51.07142857142857,22.88
Synthetic_Traditional_Wisdom,5079,104,226,48.83653846153846,22.47345132743363
Synthetic_RxInfer,9292,197,388,47.16751269035533,23.948453608247423
Synthetic_MitoBiology,4603,55,148,83.69090909090909,31.10135135135135
Synthetic_Negotiation,4610,103,216,44.75728155339806,21.34259259259259
Synthetic_Intelligent_Soft_Matter,5125,114,199,44.95614035087719,25.753768844221106
HighSchoolStudent,2979,88,93,33.85227272727273,32.03225806451613
Shyaka,3048,78,143,39.07692307692308,21.314685314685313
Synthetic_Hymeoptera,4702,96,178,48.979166666666664,26.415730337078653
Synthetic_Cooking,5689,122,260,46.631147540983605,21.880769230769232
Friston,2593,73,97,35.52054794520548,26.7319587628866
Synthetic_Python,5405,81,226,66.72839506172839,23.91592920353982
Synthetic_Hospitality,4467,94,162,47.52127659574468,27.574074074074073
Synthetic_HealthCare,4301,92,199,46.75,21.613065326633166
Synthetic_Cognitive_Security,4717,72,205,65.51388888888889,23.009756097560974
Synthetic_Spatial_Web,5095,148,240,34.42567567567568,21.229166666666668
Synthetic_Chemistry,5097,108,184,47.19444444444444,27.70108695652174
Synthetic_William-Blake,4994,77,186,64.85714285714286,26.849462365591396
MiddleSchoolStudent,2906,68,172,42.73529411764706,16.8953488372093
Fields,2935,75,88,39.13333333333333,33.35227272727273
Synthetic_Neuroscience,5092,102,204,49.92156862745098,24.96078431372549
Synthetic_NonScience_WaysOfKnowing,5111,101,169,50.603960396039604,30.242603550295858
Synthetic_Fabric,5157,125,243,41.256,21.22222222222222
